#Chinese	#English	#Sentences
七誡運動歌	Song of Encouragement
 	 	主持人在閉幕儀式中帶領大家誦念三寶頌，畫下活動的完美句點。
 	 	During the closing ceremony, the MC led everyone in reciting the Ode To the Triple Gem, marking a perfect conclusion to the event.
三皈五戒	Taking Refuge and Five Precepts Ceremony
 	 	參加三皈五戒的儀式，可以幫助信眾深入了解佛教的基本信仰。
 	 	Participating in the Taking Refuge and Five Precepts Ceremony can help followers gain a deeper understanding of the fundamental beliefs of Buddhism.
 	 	他昨日在國際佛光會的寺院舉行了三皈五戒的儀式，並承諾遵循佛教徒的生活方式。
 	 	Yesterday, he participated in the Taking Refuge and Five Precepts Ceremony at a temple of the BLIA and vowed to follow the Buddhist way of life.
 	 	在佛光會擔任主席的她，經常主持三皈五戒的儀式，帶領新人進入佛教的大家庭。
 	 	As the chairperson of the BLIA, she often leads the Taking Refuge and Five Precepts Ceremony, guiding newcomers into the Buddhist family.
 	 	三皈五戒不僅是儀式，更是一種對道德和精神成長的承諾。
 	 	The Taking Refuge and Five Precepts Ceremony is not just a ritual; it's a commitment to moral and spiritual growth.
上座部發展委員會	Theravada Affairs Committee
 	 	上座部發展委員會最近召開會議，探討如何推廣上座部佛教的教義。
 	 	The Theravada Affairs Committee recently held a meeting to discuss how to promote the teachings of Theravada Buddhism.
 	 	作為上座部發展委員會的一員，他參與制定了許多有關社區服務的計劃。
 	 	As a member of the Theravada Affairs Committee, he participated in drafting many community service programs.
 	 	上座部發展委員會的主席強調了加強地區之間合作的重要性。
 	 	The chairman of the Theravada Affairs Committee emphasized the importance of enhancing cooperation between regions.
 	 	國際佛光會的上座部發展委員會致力於促進多元文化交流。
 	 	The Theravada Affairs Committee of the BLIA is committed to promoting multicultural exchanges.
世大會籌備委員會	General Conference Organizing Committee
 	 	國際佛光會的世大會籌備委員會負責制訂大會的日程安排。
 	 	The General Conference Organizing Committee of BLIA is responsible for outlining the agenda of the conference.
 	 	她被任命為國際佛光會世大會籌備委員會的主席，協調各項準備工作。
 	 	She was appointed as the chairperson of the General Conference Organizing Committee of BLIA, coordinating various preparations.
 	 	世大會籌備委員會的成員正在加緊努力，以確保活動順利進行。
 	 	Members of the General Conference Organizing Committee are working diligently to ensure the event runs smoothly.
 	 	國際佛光會的世大會籌備委員會將向理事會匯報最新的進度。
 	 	The General Conference Organizing Committee of BLIA will report the latest progress to the council.
世界佛光童軍大會	World BLIA Scout Jamboree
 	 	今年的世界佛光童軍大會聚集了來自世界各地的年輕人，分享文化和培養領導力技能。
 	 	This year's World BLIA Scout Jamboree brought together young people from around the world to share cultures and develop leadership skills.
 	 	作為世界佛光童軍大會的一部分，參與者參加了多樣的戶外活動和工作坊。
 	 	As part of the World BLIA Scout Jamboree, participants engaged in various outdoor activities and workshops.
 	 	世界佛光童軍大會的開幕式由國際佛光會會長主持。
 	 	The opening ceremony of the World BLIA Scout Jamboree was hosted by the President of the BLIA.
 	 	許多家長對他們的孩子參加世界佛光童軍大會表示支持，認為這是一次難得的成長機會。
 	 	Many parents supported their children's participation in the World BLIA Scout Jamboree, believing it to be a valuable growth opportunity.
世界佛光青年大會	International Buddha’s Light Young Adult Conference
 	 	今年的世界佛光青年大會在澳洲舉行，吸引了來自全球的佛教年輕人參加。
 	 	This year's International Buddha’s Light Young Adult Conference was held in Australia, attracting young Buddhists from around the world.
 	 	在世界佛光青年大會上，年輕人有機會學習佛教經典，並參加多樣化的研討會和活動。
 	 	At the International Buddha’s Light Young Adult Conference, young people have the opportunity to learn Buddhist scriptures and participate in a variety of seminars and activities.
 	 	世界佛光青年大會促進了國際間的文化交流與友誼，建立了深厚的同仁關係。
 	 	The International Buddha’s Light Young Adult Conference promotes cultural exchange and friendship internationally, building deep ties among colleagues.
 	 	作為世界佛光青年大會的志願者，他負責協調各活動的安排，並提供翻譯服務。
 	 	As a volunteer for the International Buddha’s Light Young Adult Conference, he coordinated the arrangements of various activities and provided translation services.
世界傑出婦女會議	World Conference of Outstanding Buddhist Women
 	 	在今年的世界傑出婦女會議上，各國佛光會的成員分享了她們的成功故事。
 	 	At this year's World Conference of Outstanding Buddhist Women, members from various chapters of BLIA shared their success stories.
 	 	世界傑出婦女會議旨在促進性別平等並提升佛教婦女的地位。
 	 	The World Conference of Outstanding Buddhist Women aims to promote gender equality and enhance the status of Buddhist women.
 	 	她在世界傑出婦女會議中擔任主講人，分享她對於領導力的看法。
 	 	She served as a keynote speaker at the World Conference of Outstanding Buddhist Women, sharing her insights on leadership.
 	 	國際佛光會的會長在世界傑出婦女會議上發表了激勵人心的開幕致辭。
 	 	The president of BLIA delivered an inspiring opening speech at the World Conference of Outstanding Buddhist Women.
世界大會	General Conference
 	 	國際佛光會每年舉辦世界大會，來自全球的成員齊聚一堂，分享他們的經驗和智慧。
 	 	The General Conference of BILA is held annually, where members from around the world gather to share their experiences and wisdom.
 	 	今年的世界大會將在巴黎舉行，預計將有超過五千名代表參加。
 	 	This year's General Conference will be held in Paris, with over five thousand delegates expected to attend.
 	 	世界大會的主題是如何通過合作推動佛教的全球發展。
 	 	The theme of the General Conference is advancing the global development of Buddhism through collaboration.
 	 	在世界大會的開幕式上，會長強調了和平與和諧的重要性。
 	 	During the opening ceremony of the General Conference, the president emphasized the importance of peace and harmony.
世界急難救助委員會	International Emergency Relief Committee
 	 	國際佛光會的世界急難救助委員會最近籌集了大筆資金以援助遭受洪水侵襲的地區。
 	 	The International Emergency Relief Committee of the BLIA recently raised a significant amount of funds to aid flood-stricken regions.
 	 	她在世界急難救助委員會工作多年，為許多不同的國家提供了緊急援助。
 	 	She has worked with the International Emergency Relief Committee for many years, providing emergency aid to various countries.
 	 	當地的志工團隊在世界急難救助委員會的指導下組織了多次救援行動。
 	 	The local volunteer team, under the guidance of the International Emergency Relief Committee, organized several rescue operations.
 	 	世界急難救助委員會在地震發生後幾個小時內就發起了緊急行動。
 	 	The International Emergency Relief Committee launched an emergency operation within hours of the earthquake.
世界總會總會長	World Headquarters President
 	 	世界總會總會長在年度大會上發表了激勵人心的演講，鼓勵全體會員攜手前行。
 	 	The World Headquarters President delivered an inspiring speech at the annual conference, encouraging all members to move forward together.
 	 	在國際佛光會中，世界總會總會長的職責是制定組織的總體戰略和方針。
 	 	In the BLIA, the responsibility of the World Headquarters President is to formulate the organization's overall strategy and direction.
 	 	世界總會總會長與各地分會的會長保持密切聯繫，以確保全球活動的順利進行。
 	 	The World Headquarters President maintains close contact with branch presidents worldwide to ensure the smooth running of global activities.
 	 	世界總會總會長的新政策獲得了理事會的強烈支持，將推動組織的持續成長。
 	 	The new policies of the World Headquarters President have received strong support from the Council, and are set to drive continued growth of the organization.
中南美洲聯誼委員會	Central and South America Fellowship Committee
 	 	中南美洲聯誼委員會每年都會組織多文化交流活動，以促進各國之間的友好關係。
 	 	The Central and South America Fellowship Committee organizes multicultural exchange events annually to promote friendly relations among countries.
 	 	她擔任中南美洲聯誼委員會的主席，致力於推動跨文化對話。
 	 	She serves as the chair of the Central and South America Fellowship Committee, dedicated to promoting cross-cultural dialogue.
 	 	中南美洲聯誼委員會在最近的一次會議中討論了環保合作的可能性。
 	 	The Central and South America Fellowship Committee discussed the possibilities of environmental cooperation in their recent meeting.
 	 	國際佛光會的成員表示，中南美洲聯誼委員會的努力已經取得了顯著的成功。
 	 	Members of BLIA noted that the efforts of the Central and South America Fellowship Committee have achieved remarkable success.
中國佛教經典寶藏精選白話版	Excerpts of Chinese Buddhist Tripitaka in Modern Textes
 	 	這本中國佛教經典寶藏精選白話版讓不懂文言文的讀者也能夠接觸到佛法的智慧。
 	 	This Excerpts of Chinese Buddhist Tripitaka in Modern Textes allows readers who are not familiar with classical Chinese to access the wisdom of Buddhism.
 	 	國際佛光會的圖書館中收藏了多本中國佛教經典寶藏精選白話版，供大眾借閱和學習。
 	 	The BLIA library holds several copies of the Excerpts of Chinese Buddhist Tripitaka in Modern Textes, available for the public to borrow and learn from.
 	 	佛教會長在演講中多次引用中國佛教經典寶藏精選白話版中的經文來闡述佛理。
 	 	In his speech, the BLIA President frequently quoted passages from the Excerpts of Chinese Buddhist Tripitaka in Modern Textes to explain Buddhist doctrines.
 	 	這次出版的中國佛教經典寶藏精選白話版由一群學者共同翻譯，力求忠於原著。
 	 	The recently published Excerpts of Chinese Buddhist Tripitaka in Modern Textes were collaboratively translated by a group of scholars, striving to remain faithful to the original texts.
中華佛光青年團員大會	BLIA-YAD Chunghua General Conference
 	 	中華佛光青年團員大會今年將在台北舉行，吸引來自各地的青年團員熱情參與。
 	 	The BLIA-YAD Chunghua General Conference will be held in Taipei this year, attracting enthusiastic participation from young members from various regions.
 	 	作為國際佛光會青年部的一員，我期待參加中華佛光青年團員大會，並且學習來自其他團體的經驗。
 	 	As a member of the BLIA Youth Division, I look forward to attending the BLIA-YAD Chunghua General Conference and learning from the experiences of other groups.
 	 	中華佛光青年團員大會的主題演講將探討青年在現代社會中的角色和貢獻。
 	 	The keynote speech at the BLIA-YAD Chunghua General Conference will explore the role and contributions of youth in modern society.
 	 	國際佛光會會長將在中華佛光青年團員大會上致辭，鼓勵青年團員積極參與社會服務。
 	 	The President of the BLIA will give a speech at the BLIA-YAD Chunghua General Conference, encouraging young members to actively participate in social service.
中華文教開發委員會	Chinese Culture and Education Development Committee
 	 	中華文教開發委員會致力於促進海內外文化交流與教育合作。
 	 	The Chinese Culture and Education Development Committee is dedicated to promoting cultural exchange and educational cooperation domestically and internationally.
 	 	在國際佛光會的支持下，中華文教開發委員會舉辦了一系列文化講座。
 	 	With the support of BLIA, the Chinese Culture and Education Development Committee organized a series of cultural seminars.
 	 	中華文教開發委員會的使命是提升文化素養，推廣中文教育。
 	 	The mission of the Chinese Culture and Education Development Committee is to enhance cultural literacy and promote Chinese language education.
 	 	作為中華文教開發委員會的成員，他積極參加了各項教育發展計劃。
 	 	As a member of the Chinese Culture and Education Development Committee, he actively participated in various educational development programs.
主任委員	Committee Director
 	 	王先生被選為國際佛光會的主任委員，負責協調各項會務的推進。
 	 	Mr. Wang was elected as the Committee Director of the BLIA, responsible for coordinating the advancement of various association affairs.
 	 	作為主任委員，李女士努力促進企業社會責任的實施，並與其他組織緊密合作。
 	 	As the Committee Director, Ms. Li strives to promote the implementation of corporate social responsibility and works closely with other organizations.
 	 	主任委員強調，團隊合作對於完成這個項目的成功至關重要。
 	 	The Committee Director emphasized that teamwork is crucial for the successful completion of the project.
 	 	他的經驗和領導能力使他在選舉中成為擔任國際佛光會主任委員的最佳人選。
 	 	His experience and leadership skills made him the best candidate in the election for the position of Committee Director at the BLIA.
主席	Chairperson
 	 	他被選為國際佛光會的主席，負責帶領理事會的工作。
 	 	He was elected as the chairperson of the BLIA, responsible for leading the board of directors' efforts.
 	 	作為主席，她主持了年度大會，並發表了重要演講。
 	 	As the chairperson, she presided over the annual conference and delivered a significant speech.
 	 	主席的職責包括統籌各個分會的活動與計畫。
 	 	The chairperson's duties include coordinating activities and plans across various chapters.
 	 	主席強調團隊合作對於成功的重要性，特別是在國際項目中。
 	 	The chairperson emphasized the importance of teamwork for success, especially in international projects.
主題演說	Keynote Speech
 	 	在今年的國際佛光會年會上，會長發表了一場激勵人心的主題演說。
 	 	At this year's BLIA annual conference, the president delivered an inspiring keynote speech.
 	 	主題演說聚焦於未來的佛光計畫，強調全球合作的重要性。
 	 	The keynote speech focused on the future BLIA projects, emphasizing the importance of global cooperation.
 	 	他的主題演說以環保為題，呼籲各界積極參與環境保護行動。
 	 	His keynote speech was centered on environmental protection, calling on all sectors to engage actively in conservation efforts.
 	 	這次大會的主題演說嘉賓是一位著名的佛學專家，以其智慧和洞察力聞名。
 	 	The keynote speaker for this conference was a renowned Buddhist scholar known for their wisdom and insights.
人間佛教唱歌比賽	Humanistic Buddhism Singing Contest
 	 	國際佛光會的學生會正在準備人間佛教唱歌比賽，吸引了許多青年歌手報名參加。
 	 	The BLIA Student Association is preparing for the Humanistic Buddhism Singing Contest, attracting many young singers to participate.
 	 	今年的人間佛教唱歌比賽將在佛光山大雄寶殿舉行，吸引了許多佛教音樂愛好者。
 	 	This year's Humanistic Buddhism Singing Contest will be held at the Fo Guang Shan Main Shrine, drawing many Buddhist music enthusiasts.
 	 	在去年的人間佛教唱歌比賽中，小美以她清亮的嗓音贏得了第一名。
 	 	In last year's Humanistic Buddhism Singing Contest, Xiao Mei won first place with her clear voice.
 	 	理事會決定將人間佛教唱歌比賽納入年度活動計劃，以增進會員之間的文化交流。
 	 	The Council has decided to include the Humanistic Buddhism Singing Contest in the annual event plan to enhance cultural exchange among members.
人間佛教宣講員	Humanistic Buddhism Speaker
 	 	她被任命為國際佛光會的正式人間佛教宣講員，負責在海外推廣佛教思想。
 	 	She was appointed as an official Humanistic Buddhism Speaker for the BLIA, tasked with promoting Buddhist philosophy overseas.
 	 	這位人間佛教宣講員在靜思堂的演講吸引了大量聽眾，大家都被他的智慧和靈感深深吸引。
 	 	The Humanistic Buddhism Speaker's talk at the Jing Si Hall attracted a large audience, who were deeply inspired by his wisdom and insight.
 	 	作為國際佛光會的人間佛教宣講員，他不僅要掌握豐富的佛教知識，還需具備良好的溝通技巧。
 	 	As a Humanistic Buddhism Speaker for the BLIA, he needs to have not only extensive Buddhist knowledge but also excellent communication skills.
 	 	宣講員在年度大會上與會長一起分享了人間佛教的核心價值觀，深化了大家的理解。
 	 	The Humanistic Buddhism Speaker shared the core values of Humanistic Buddhism with the President at the annual conference, deepening everyone's understanding.
人間佛教宣講員培訓	Humanistic Buddhism Speakers Online Training
 	 	國際佛光會會長宣布了一項新的人間佛教宣講員培訓計劃，旨在提高成員的宣講能力。
 	 	The president of BLIA announced a new Humanistic Buddhism Speakers Online Training program aimed at enhancing members' speaking skills.
 	 	參加人間佛教宣講員培訓的學員需要通過一系列的考核才能獲得證書。
 	 	Participants in the Humanistic Buddhism Speakers Online Training must pass a series of assessments to receive certification.
 	 	這次人間佛教宣講員培訓將由經驗豐富的法師們親自指導，課程內容豐富多樣。
 	 	This Humanistic Buddhism Speakers Online Training will be guided by experienced Dharma masters, offering a variety of rich content.
 	 	完成此次人間佛教宣講員培訓的學員將有機會在國際佛光會的各項活動中擔任宣講員。
 	 	Those who complete the Humanistic Buddhism Speakers Online Training will have the opportunity to serve as speakers at various BLIA events.
人間佛教宣講示範	Humanistic Buddhism Speaker Training
 	 	為了提高義工們的講解能力，我們即將舉辦一場人間佛教宣講示範。
 	 	To enhance the communication skills of our volunteers, we are organizing a Humanistic Buddhism Speaker Training session.
 	 	在本次人間佛教宣講示範中，參加者將有機會練習演講技巧。
 	 	During the Humanistic Buddhism Speaker Training, participants will have the opportunity to practice their public speaking skills.
 	 	國際佛光會的理事會高度重視人間佛教宣講示範，以推廣佛教價值觀。
 	 	The BLIA Board of Directors places great importance on the Humanistic Buddhism Speaker Training to promote Buddhist values.
 	 	這次人間佛教宣講示範吸引了來自不同地方的青年佛教徒參加。
 	 	This Humanistic Buddhism Speaker Training attracted young Buddhists from various regions.
人間佛教研習會	Seminar on Humanistic Buddhism
 	 	國際佛光會的理事會正在籌備本年度的人間佛教研習會，邀請全球知名學者參與。
 	 	The BLIA council is organizing this year's Seminar on Humanistic Buddhism and inviting renowned scholars from around the world to participate.
 	 	在上次的人間佛教研習會中，來自多國的僧侶和學者分享了他們對人間佛教理念的獨特見解。
 	 	During the last Seminar on Humanistic Buddhism, monks and scholars from various countries shared their unique insights on the philosophy of Humanistic Buddhism.
 	 	李教授在此次人間佛教研習會上發表了關於禪修如何促進日常生活平和的演講。
 	 	Professor Li delivered a lecture on how meditation can promote peace in daily life at the Seminar on Humanistic Buddhism.
 	 	人間佛教研習會提供了一個平台，讓參與者能深入探討佛教如何融入現代社會。
 	 	The Seminar on Humanistic Buddhism provided a platform for participants to explore in depth how Buddhism can integrate into modern society.
人間佛教讀書會初階帶領人培訓	Humanistic Buddhism Reading Group Leadership Training for Beginners
 	 	國際佛光會將舉辦一場人間佛教讀書會初階帶領人培訓，歡迎對佛學有熱情的新手參加。
 	 	BLIA will host a Humanistic Buddhism Reading Group Leadership Training for Beginners, welcoming newcomers with a passion for Buddhism.
 	 	參加人間佛教讀書會初階帶領人培訓的學員將有機會提升他們的領導能力和組織技巧。
 	 	Participants in the Humanistic Buddhism Reading Group Leadership Training for Beginners will have the opportunity to enhance their leadership and organizational skills.
 	 	這次人間佛教讀書會初階帶領人培訓將由資深的講師進行授課，確保學員能夠充分了解和掌握基本技能。
 	 	The Humanistic Buddhism Reading Group Leadership Training for Beginners will be conducted by experienced instructors to ensure participants fully understand and acquire basic skills.
 	 	完成這個人間佛教讀書會初階帶領人培訓後，學員將能夠自主地組織並引導新的讀書小組。
 	 	After completing the Humanistic Buddhism Reading Group Leadership Training for Beginners, participants will be able to independently organize and lead new reading groups.
人間福報	Merit Times
 	 	人間福報是一本提供正面訊息並啟迪人心的報紙。
 	 	Merit Times is a newspaper that provides positive messages and inspires minds.
 	 	我的文章最近在《人間福報》上刊登，這讓我感到非常榮幸。
 	 	My article was recently published in the Merit Times, which made me feel very honored.
 	 	每天早晨，他都閱讀《人間福報》來開始一天的生活。
 	 	Every morning, he reads the Merit Times to start his day.
 	 	人間福報的特別報導引起了讀者的廣泛關注。
 	 	The special report in Merit Times attracted widespread attention from readers.
人間與生活	The Human World and Life
 	 	佛教教義常常談論人間與生活，使我們了解到日常生活中的智慧和慈悲。
 	 	Buddhist teachings often discuss the human world and life, helping us understand wisdom and compassion in our daily lives.
 	 	國際佛光協會的會長在講座中闡述了人間與生活的哲學理念，強調了和平共處的重要性。
 	 	The President of the BLIA elaborated on the philosophy of the human world and life in the lecture, emphasizing the importance of harmonious coexistence.
 	 	在面對人間與生活的挑戰時，他選擇以佛教的方式來解決問題，尋求人生的意義。
 	 	When facing the challenges of the human world and life, he chooses to address issues through Buddhist ways, seeking the meaning of life.
 	 	國際佛光協會理事會定期安排講座，幫助會員更深入地理解人間與生活的相互關係。
 	 	The BLIA Board of Directors regularly organizes seminars to help members gain a deeper understanding of the interrelation between the human world and life.
佛光三昧修持法	Buddha's Light Meditation Practice
 	 	他每天早晨都進行佛光三昧修持法，以提升他的內在平和和專注力。
 	 	He practices the Buddha's Light Meditation Practice every morning to enhance his inner peace and concentration.
 	 	在國際佛光會的禪修活動中，老師們教授了佛光三昧修持法的基本技巧。
 	 	During the BLIA's meditation retreat, instructors taught the basic techniques of the Buddha's Light Meditation Practice.
 	 	據說，持之以恆地修習佛光三昧修持法，可以激發內在的智慧與慈悲。
 	 	It is said that consistent practice of the Buddha's Light Meditation Practice can awaken inner wisdom and compassion.
 	 	佛光三昧修持法是許多修行者用來達到正念的主要方法之一，有助於他們的靈性成長。
 	 	The Buddha's Light Meditation Practice is one of the primary methods used by practitioners to achieve mindfulness and aid in their spiritual growth.
佛光世紀	Buddha's Light Newsletter
 	 	新一期的佛光世紀提供了國際佛光會最新的活動資訊和會務動態。
 	 	The latest issue of the Buddha's Light Newsletter provides the newest activity updates and organizational developments of the Buddha's Light International Association (BLIA).
 	 	佛光世紀是聯絡會員和全球分會的重要平台。
 	 	The Buddha's Light Newsletter is an important platform for connecting members and global chapters.
 	 	今年的佛光世紀特刊專題報導了國際佛光會全球會員大會的精彩回顧。
 	 	This year's special edition of the Buddha's Light Newsletter featured an in-depth coverage of the BLIA World Conference.
 	 	作為行政文書組的成員，他負責編輯和發行佛光世紀。
 	 	As a member of the Administrative Documentation Team, he is responsible for editing and distributing the Buddha's Light Newsletter.
佛光之友	Friends of Buddha's Light
 	 	佛光之友組織每月舉辦一次聚會，以促進彼此的聯繫與修行。
 	 	The Friends of Buddha's Light organize a monthly gathering to foster connection and practice among its members.
 	 	她加入了佛光之友，幫助推廣社區服務和佛教文化。
 	 	She joined the Friends of Buddha's Light to help promote community service and Buddhist culture.
 	 	佛光之友在世界各地都有分會，旨在傳播佛教智慧。
 	 	Friends of Buddha's Light have chapters all around the world, aiming to spread Buddhist wisdom.
 	 	作為佛光之友的一員，他參與了多次慈善活動，並從中獲益良多。
 	 	As a member of the Friends of Buddha's Light, he participated in numerous charitable activities and gained much from the experience.
佛光之夜	Night of the Buddha’s Light
 	 	在每年的佛光之夜，全世界的信徒聚集在佛光山慶祝這個神聖的節日。
 	 	During the annual Night of the Buddha’s Light, devotees from all over the world gather at Fo Guang Shan to celebrate this sacred occasion.
 	 	佛光之夜的活動包括祈禱、冥想以及薪火相傳的燈火儀式。
 	 	The events of the Night of the Buddha’s Light include prayers, meditation, and the ceremonial passing of the light.
 	 	這位國際佛光會的會長強調佛光之夜的意義在於傳播和平和智慧。
 	 	The president of the BLIA emphasized that the significance of the Night of the Buddha’s Light lies in spreading peace and wisdom.
 	 	許多文化團體會在佛光之夜上演精彩的表演，使整個夜晚洋溢著藝術和信仰的氛圍。
 	 	Many cultural groups perform captivating shows during the Night of the Buddha’s Light, filling the entire evening with an atmosphere of art and faith.
佛光事業人才推薦委員會	BLIA Human Resource Allocation Committee
 	 	佛光事業人才推薦委員會負責協調各地佛光會的人才招募工作，確保組織內部運作的順利。
 	 	The BLIA Human Resource Allocation Committee is responsible for coordinating talent recruitment across different BLIA chapters to ensure smooth internal operations.
 	 	國際佛光會會長表示，佛光事業人才推薦委員會的成立是提升整體組織效能的重要一步。
 	 	The president of BLIA stated that the establishment of the BLIA Human Resource Allocation Committee is a crucial step in enhancing the overall organizational efficiency.
 	 	在今年的年會中，佛光事業人才推薦委員會提交了一份詳細的報告，著重於未來三年的發展計劃。
 	 	At this year's annual meeting, the BLIA Human Resource Allocation Committee submitted a detailed report focusing on developmental plans for the next three years.
 	 	佛光事業人才推薦委員會的成員來自世界各地，都是熱衷於推動佛教事業的專業人才。
 	 	The members of the BLIA Human Resource Allocation Committee come from all over the world, all of whom are professionals passionate about advancing the Buddhist cause.
佛光人	Fo Guang member; Buddha’s Light member
 	 	作為佛光人，他積極參加各項社區服務活動，幫助有需要的人。
 	 	As a Fo Guang member, he actively participates in various community service activities to help those in need.
 	 	佛光人的價值觀強調慈善、服務和尊重所有生命。
 	 	The values of Buddha’s Light members emphasize charity, service, and respect for all life.
 	 	每週五，佛光人聚在一起參加修持活動，以提高個人的身心靈修養。
 	 	Every Friday, Fo Guang members gather to participate in cultivation activities to enhance their personal spiritual and mental development.
 	 	成為佛光人後，她發現自己的生活不僅變得更有意義，也更加富有愛心。
 	 	After becoming a Buddha’s Light member, she found her life not only more meaningful but also filled with greater compassion.
佛光大學	Fo Guang University
 	 	佛光大學以其優秀的人文教育而著稱，吸引了國內外的優秀學生。
 	 	Fo Guang University is renowned for its excellent humanities education, attracting outstanding students from both domestic and international locations.
 	 	今年，佛光大學的佛學研究中心推出了一系列具有國際影響力的研討會。
 	 	This year, the Fo Guang University's Center for Buddhist Studies launched a series of internationally influential seminars.
 	 	佛光大學致力於推廣佛學和文化的交流，為學生提供多樣化的學習機會。
 	 	Fo Guang University is committed to promoting Buddhist studies and cultural exchange, providing students with diverse learning opportunities.
 	 	許多來自世界各地的學者前來佛光大學進行學術交流與合作。
 	 	Many scholars from around the world come to Fo Guang University for academic exchanges and collaboration.
佛光大藏經	Fo Guang Buddhist Canon
 	 	佛光大藏經是國際佛光會在全球推廣佛法的一項重要計畫。
 	 	The Fo Guang Buddhist Canon is an important project by the BLIA to promote Buddhism globally.
 	 	研究佛光大藏經的學者們在研討會上分享了他們的最新發現。
 	 	The scholars studying the Fo Guang Buddhist Canon shared their latest findings at the seminar.
 	 	佛光大藏經的編纂過程涉及大量的學術研究和專家審查。
 	 	The compilation of the Fo Guang Buddhist Canon involves extensive academic research and expert review.
 	 	他拜訪了佛光山，參觀了珍藏於其圖書館中的佛光大藏經。
 	 	He visited Fo Guang Shan and viewed the Fo Guang Buddhist Canon housed in their library.
佛光大辭典	Fo Guang Buddhist Dictionary
 	 	佛光大辭典是研究佛教經典的重要工具，對於學者和修行者提供了豐富的參考資料。
 	 	The Fo Guang Buddhist Dictionary is an important tool for studying Buddhist scriptures, providing scholars and practitioners with a wealth of reference material.
 	 	在編寫論文時，他頻繁地查閱佛光大辭典，以確保使用正確的佛教術語。
 	 	When writing his thesis, he frequently consulted the Fo Guang Buddhist Dictionary to ensure the correct use of Buddhist terminology.
 	 	佛光大辭典的編纂者們致力於收錄各宗派的重要概念，促進佛教文化的理解與交流。
 	 	The compilers of the Fo Guang Buddhist Dictionary are committed to including essential concepts from various sects to promote understanding and exchanges in Buddhist culture.
 	 	新加入的會員們被建議參考佛光大辭典，以增進對佛教基本教義的認識。
 	 	New members are advised to refer to the Fo Guang Buddhist Dictionary to enhance their understanding of basic Buddhist doctrines.
佛光婦女	BLIA Women
 	 	佛光婦女組織積極參加社區服務活動，並致力於慈善事業。
